錛,ben1
鐼,ben1
鑌,ben1
霦,ben1
驞,ben1
品,ben2
禀,ben2
稟,ben2
儐,ben3
奔,ben3
嬪,ben3
擯,ben3
殯,ben3
渀,ben3
臏,ben3
賁,ben3
賓,ben3
髕,ben3
鬢,ben3
体,ben6
坋,ben6
坌,ben6
夯,ben6
泍,ben6
炃,ben6
笨,ben6
傰,beng1
嘣,beng1
堋,beng1
塴,beng1
崩,beng1
弸,beng1
痭,beng1
祊,beng1
絣,beng1
綳,beng1
繃,beng1
蹦,beng1
甭,beng2
凭,beng6
憑,beng6
不,bed1
吥,bed1
嗶,bed1
彃,bed1
泌,bed1
滭,bed1
潷,bed1
熚,bed1
珌,bed1
甭,bed1
畢,bed1
筆,bed1
篳,bed1
縪,bed1
罼,bed1
蓽,bed1
袐,bed1
觱,bed1
蹕,bed1
鈈,bed1
鏎,bed1
驆,bed1
鷝,bed1
𢳂,bed1
佛,bed6
僰,bed6
妼,bed6
弼,bed6
拂,bed6
拔,bed6
柭,bed6
泌,bed6
犮,bed6
癹,bed6
皕,bed6
胇,bed6
胈,bed6
苾,bed6
茀,bed6
茇,bed6
菝,bed6
詙,bed6
跋,bed6
軷,bed6
邲,bed6
鈸,bed6
駜,bed6
魃,bed6
鼥,bed6
培,beo6
堷,beo6
瓿,beo6
啤,bé1
唄,bé6
卑,béi1
埤,béi1
屄,béi1
庳,béi1
悲,béi1
椑,béi1
毴,béi1
犤,béi1
痺,béi1
碑,béi1
篦,béi1
羆,béi1
萆,béi1
蓖,béi1
藣,béi1
裨,béi1
詖,béi1
陂,béi1
鵯,béi1
俾,béi2
匕,béi2
吡,béi2
妣,béi2
媲,béi2
崥,béi2
彼,béi2
朼,béi2
柀,béi2
比,béi2
毗,béi2
毘,béi2
沘,béi2
畀,béi2
疕,béi2
秕,béi2
粃,béi2
肶,béi2
貏,béi2
鞞,béi2
髀,béi2
匕,béi3
埤,béi3
庇,béi3
柲,béi3
比,béi3
毖,béi3
泌,béi3
潷,béi3
珌,béi3
琲,béi3
畀,béi3
疪,béi3
痹,béi3
痺,béi3
祕,béi3
秘,béi3
箅,béi3
粊,béi3
臂,béi3
芘,béi3
詖,béi3
費,béi3
賁,béi3
跛,béi3
輩,béi3
轡,béi3
邲,béi3
鄪,béi3
鉍,béi3
閟,béi3
陂,béi3
飶,béi3
備,béi6
匕,béi6
奰,béi6
憊,béi6
比,béi6
犕,béi6
箄,béi6
篦,béi6
簰,béi6
糒,béi6
蓖,béi6
薜,béi6
被,béi6
襣,béi6
贔,béi6
辟,béi6
避,béi6
鎞,béi6
鞁,béi6
骳,béi6
髲,béi6
鼻,béi6
壁,bég3
鉼,béng2
餅,béng2
柄,béng3
病,béng6
偪,big1
壁,big1
廦,big1
愊,big1
愎,big1
排,big1
揊,big1
擗,big1
楅,big1
湢,big1
煏,big1
璧,big1
甓,big1
皕,big1
碧,big1
稫,big1
綼,big1
繴,big1
腷,big1
襞,big1
踾,big1
躄,big1
辟,big1
迫,big1
逼,big1
鶝,big1
鼊,big1
𤩹,big1
壁,big3
璧,big3
煸,bin1
猵,bin1
甂,bin1
砭,bin1
箯,bin1
籩,bin1
緶,bin1
艑,bin1
萹,bin1
蝙,bin1
辮,bin1
邊,bin1
鍽,bin1
鞭,bin1
鶣,bin1
便,bin2
匾,bin2
惼,bin2
扁,bin2
砭,bin2
碥,bin2
稨,bin2
窆,bin2
萹,bin2
蝙,bin2
褊,bin2
豍,bin2
貶,bin2
徧,bin3
變,bin3
遍,bin3
便,bin6
卞,bin6
弁,bin6
忭,bin6
抃,bin6
汳,bin6
汴,bin6
笲,bin6
艑,bin6
苄,bin6
覍,bin6
辨,bin6
辯,bin6
釆,bin6
閞,bin6
鴘,bin6
乒,bing1
兵,bing1
冰,bing1
屏,bing1
并,bing1
掤,bing1
栟,bing1
檳,bing1
氷,bing1
㨀,bing2
丙,bing2
偋,bing2
寎,bing2
屏,bing2
庰,bing2
怲,bing2
抦,bing2
摒,bing2
昺,bing2
炳,bing2
秉,bing2
窉,bing2
苪,bing2
蛃,bing2
迸,bing2
邴,bing2
陃,bing2
鞞,bing2
餅,bing2
𣶸,bing2
並,bing3
併,bing3
堋,bing3
塴,bing3
并,bing3
庰,bing3
怲,bing3
摒,bing3
柄,bing3
絣,bing3
迸,bing3
𠹶,bing4
並,bing6
併,bing6
并,bing6
病,bing6
佖,bid1
咇,bid1
必,bid1
怭,bid1
珌,bid1
苾,bid1
觱,bid1
邲,bid1
鉍,bid1
飶,bid1
馝,bid1
駜,bid1
鮅,bid1
別,bid3
彆,bid3
憋,bid3
虌,bid3
蟞,bid3
鄨,bid3
鱉,bid3
鷩,bid3
鼈,bid3
䭱,bid6
別,bid6
癟,bid6
苾,bid6
蛂,bid6
蟞,bid6
襒,bid6
蹩,bid6
飶,bid6
馝,bid6
儦,biu1
墂,biu1
彪,biu1
摽,biu1
杓,biu1
