倡,coeng1
倡,coeng3
倷,noi6
個,go3
俳,paai4
倗,pang4
們,mun4
倰,ling4
倰,ling6
倱,wan6
借,ze3
倉,cong1
倀,caang1
倀,caang4
倀,zan3
倀,coeng1
倬,coek3
倬,zoek3
倳,zi3
倳,zi6
倧,zung1
值,zik6
倢,zip3
倢,zit3
倢,zit6
倅,ceoi3
倅,zeot1
俵,biu2
俵,biu3
俶,tik1
俶,cuk1
倭,wai1
倭,wai2
倭,wo1
倭,wo2
倓,daam6
倓,taam4
倜,tik1
倯,sung1
倣,fong2
倵,mou5
俷,fai3
倘,soeng4
倘,tong2
倒,dou2
倒,dou3
俴,cin5
倫,leon4
倚,kei1
倚,ji2
俺,aan2
俺,jim3
倔,gwat6
倇,jyun2
倦,gyun6
倥,hung1
倥,hung2
倥,hung3
倆,loeng5
倛,hei1
倖,hang6
候,hau6
偉,wai5
假,gaa2
假,gaa3
偍,tai4
偵,zing1
偕,gaai1
偕,haai4
偈,gai2
偈,gai6
偈,git6
偯,ji2
偢,cau2
偢,ciu2
偁,can3
偁,cing1
偁,cing3
做,zou6
偫,ci5
偫,zi6
偷,tau1
倕,seoi4
偟,wong4
偰,sit3
偎,wui1
側,zak1
倏,suk1
偩,fu6
偳,zeoi3
偌,je6
停,ting4
偲,caai1
偲,si1
偲,soi1
偊,geoi2
偊,jyu2
偊,jyu5
偡,zaam3
偠,jiu2
偠,jiu5
偶,ngau5
偛,zaap3
偽,ngai6
偅,zung3
偣,jim1
偮,zap1
偗,saang2
偑,fung1
偞,jip6
偭,min5
偭,min6
偀,jing1
偃,jim2
偃,jin2
偋,bing2
偆,ceon2
偓,ak1
偓,ngak1
偏,pin1
偤,jau4
健,gin6
偝,bui3
偝,bui6
偺,zaa1
偪,bik1
偨,ci1
偨,zi1
傋,gau3
傋,gong2
傇,jung5
傀,faai3
傀,gwai1
傎,din1
傔,him3
傞,co1
傞,so1
傍,bong6
傍,pong4
傣,daai2
傣,taai3
傜,jiu4
傂,zi6
傖,caang1
傖,cam2
傖,cong1
傛,jung4
傛,jung6
備,bei6
傝,taap3
傅,fu1
傅,fu6
傢,gaa1
傘,saan3
傃,sou3
傚,haau6
傑,git6
傒,hai4
傒,hai6
傌,maa6
傕,gok3
傽,zoeng1
僅,gan2
僅,gan6
傺,cai3
僆,lin5
傸,cong2
僈,maan6
傮,cou4
傮,zou1
僊,sin1
僇,luk6
僉,cim1
傴,jyu2
傲,ngou6
傿,jin1
傭,cung1
傭,jung2
傭,jung4
傶,cau3
催,ceoi1
傰,bang1
傰,pang4
僁,sat1
僁,seot1
僁,sit3
傯,zung2
傯,zung3
僄,piu1
僄,piu3
僄,piu5
傳,cyun4
傳,zyun3
傳,zyun6
傻,so4
傷,soeng1
傾,king1
僋,taam2
僋,taam3
債,zaai3
傱,sung2
僂,lau4
僂,leoi5
僱,gu3
僔,zyun2
僓,teoi4
僖,hei1
僠,bo1
僳,suk1
僣,zim3
僯,leon5
僯,leon6
僕,buk6
僚,liu4
僚,liu5
僚,lou5
僰,baak6
僰,bat6
僰,bok3
僮,zong3
僮,zong6
僮,tung4
僗,lou4
僪,jyut6
僪,kyut3
僑,kiu4
僥,giu1
僥,giu2
僥,hiu1
僥,jiu4
僨,fan3
僨,fan5
僤,daan6
僭,cim3
僭,cim5
僭,zim3
僩,haan5
僧,sang1
僧,zang1
僛,hei1
僬,ziu1
僬,ziu3
僎,zaan6
僎,zeon1
僎,zyun1
僦,zau3
僦,zau6
僝,saan4
僝,zaan6
像,zoeng6
儂,nung4
僾,oi3
僾,ngoi3
儊,co2
僶,man5
儃,taan2
儃,sin4
儃,zin1
儅,dong1
儅,dong3
儌,giu1
儌,giu2
儌,hiu1
僵,goeng1
儈,kui2
儈,kui3
僿,sai3
僿,si1
儋,daam1
儋,daam3
僽,zau3
僽,zau6
儇,hyun1
價,gaa3
億,jik1
儆,ging2
僸,gam3
儀,ji4
僻,pik1
僻,bui6
儉,gim6
儔,cau4
儗,ji5
儗,ji6
儘,zeon2
儚,mung4
儑,ngaam4
儐,ban1
儐,ban3
儓,toi4
儜,nang4
儜,ning4
儒,jyu4
儕,caai4
儦,biu1
儥,dik6
儥,duk6
儥,juk6
償,soeng4
儩,ci3
儩,si3
儠,lip6
儤,bou3
優,jau1
儢,leoi5
儲,cyu1
儲,cyu4
儲,cyu5
儡,leoi5
儭,can3
儰,wai5
儱,lung5
儮,lik6
儴,joeng4
儵,suk1
儳,caam3
儳,caam4
儳,zaam6
儹,zaan2
儹,zyun2
儷,lai6
儺,no4
儸,lo4
儼,jim5
儻,tong2
儽,leoi4
儽,leoi5
儿,ngai4
儿,jan4
儿,ji4
兀,ngat6
兀,ngat6
允,wan5
允,jyun4
元,jyun4
充,cung1
兄,hing1
兄,fong3
兇,hung1
光,gwong1
兆,siu6
先,sin1
先,sin3
克,haak1
克,hak1
兌,deoi3
兌,deoi6
兌,jeoi6
免,man6
免,min5
兒,ngai4
