丫,a1
厊,a1
吖,a1
呀,a1
啊,a1
啞,a1
孲,a1
枒,a1
椏,a1
錏,a1
雅,a1
鴉,a1
啊,a2
啞,a2
嗄,a2
掗,a2
阿,a2
亞,a3
啊,a3
埡,a3
婭,a3
掗,a3
氬,a3
襾,a3
鈳,a3
錏,a3
錒,a3
阿,a3
呀,a4
啊,a4
哎,aai1
唉,aai1
唲,aai1
噯,aai1
埃,aai1
娭,aai1
挨,aai1
欸,aai2
毐,aai2
矮,aai2
嗄,aai3
嗌,aai3
噫,aai3
砨,aai3
賹,aai3
阨,aai3
隘,aai3
餲,aai3
厄,aak1
扼,aak1
握,aak1
軛,aak1
軶,aak1
阿,aak3
恰,aam1
菡,aam2
殷,aan1
俺,aan2
姲,aan3
晏,aan3
洝,aan3
騴,aan3
鴳,aan3
鷃,aan3
甖,aang1
罃,aang1
罌,aang1
鴨,aap2
押,aap3
浥,aap3
鴨,aap3
堨,aat3
壓,aat3
恝,aat3
戛,aat3
押,aat3
揠,aat3
曷,aat3
歹,aat3
歺,aat3
洝,aat3
猒,aat3
猰,aat3
胺,aat3
軋,aat3
遏,aat3
閼,aat3
頞,aat3
餲,aat3
齃,aat3
㘭,aau1
凹,aau1
咬,aau1
坳,aau1
抓,aau1
柪,aau1
㘭,aau2
拗,aau2
詏,aau2
靿,aau2
鴢,aau2
㘭,aau3
凹,aau3
坳,aau3
岰,aau3
抝,aau3
拗,aau3
柪,aau3
箹,aau3
袎,aau3
靿,aau3
囈,ai1
繄,ai1
鷖,ai1
欸,ai2
矮,ai2
哎,ai3
嫕,ai3
屭,ai3
曀,ai3
殪,ai3
瘞,ai3
瘱,ai3
縊,ai3
翳,ai3
蘙,ai3
豷,ai3
贀,ai3
隘,ai3
偓,ak1
厄,ak1
呃,ak1
啞,ak1
喔,ak1
幄,ak1
扼,ak1
握,ak1
搤,ak1
搹,ak1
枙,ak1
殕,ak1
渥,ak1
砨,ak1
腛,ak1
蚅,ak1
豟,ak1
軶,ak1
阨,ak1
隘,ak1
餩,ak1
齷,ak1
匎,am1
厂,am1
垵,am1
媕,am1
庵,am1
痷,am1
盦,am1
腤,am1
菴,am1
萻,am1
諳,am1
闇,am1
陰,am1
韽,am1
馣,am1
鵪,am1
龕,am1
唵,am2
