噘,kyut3
噚,cham4
噅,fai1
嘩,fa1
嘩,wa1
嘩,wa4
嘩,yip6
嘵,hiu1
嘾,daam6
嘾,taam4
嘾,taam5
嘲,jaau1
嘽,taan1
嘽,chin2
嘽,jin2
噉,daam6
噉,gam2
噌,chaang1
噌,chang1
噌,jang1
嘳,kwaai3
噎,yit3
嘪,maai5
嘺,kiu4
噀,seun3
嘿,mak6
嘿,hei1
噊,wat6
噊,leut6
噗,pok3
嘰,gei1
嘸,m4
嘸,mou5
嘸,fu2
嘶,sai1
嘶,si1
嘯,chik1
嘯,siu3
嘹,liu4
噴,fan5
噴,pan1
噴,pan3
噁,ok3
噁,ngok3
噁,wu3
嘮,lou4
嘮,lou6
噂,jyun2
噓,heui1
嘻,hei1
噬,sai6
噱,kek6
噱,cheuk3
噱,keuk6
噤,gam3
噤,gam6
噤,kam1
噪,chou3
噮,yun1
噦,wai3
噦,yut3
噦,yut6
噷,hm1
噠,daat6
噭,giu3
噭,kiu3
噯,aai1
噯,oi2
噯,oi3
噯,ngoi2
噯,ngoi3
噳,yu5
噩,ngok6
噢,o1
噢,ou3
噢,yu2
噰,yung1
器,hei3
噣,jau3
噣,deuk3
噞,yim1
噞,yim2
噸,deun1
噸,deun6
噥,nung4
噹,dong1
噙,kam4
噲,faai3
噶,ga1
噶,got3
噫,aai3
噫,ngaai3
噫,yi1
嚌,jai6
嚀,ning4
嚏,dai3
嚏,tai3
嚄,waak6
嚄,o2
嚄,wok6
嚅,yu4
嚇,haak1
嚇,haak3
嚓,chaat3
嚆,haau1
嚆,hou1
嚃,daap6
嚎,hou4
噿,jeui2
嚍,jeun3
嚁,dik6
噾,yam1
嚂,laam4
嚂,laam6
嚐,seung4
嚕,lou1
嚜,ma1
嚜,ma3
嚜,maak1
嚜,mak1
嚜,mak6
嚝,gwong1
嚙,ngaat6
嚙,yit6
嚙,ngit6
嚗,bok3
嚘,yau1
嚮,heung2
嚮,heung3
嚚,ngan4
嚥,yin3
嚦,lik1
嚦,lik6
嚬,pan4
嚧,lou4
嚫,chan3
嚪,daam6
嚭,pei2
嚶,ying1
嚴,yim4
嚨,lung4
嚵,chaam4
嚷,yeung5
嚷,yeung6
嚼,jiu6
嚼,jeuk3
嚼,jeuk6
嚳,guk1
嚳,kuk1
嚲,do2
囀,jyun2
囀,jyun3
囁,yip6
囁,jip3
嚾,fun1
嚽,jyut3
囃,ja3
囂,hiu1
囂,ngou4
囅,chin2
囅,jin2
囆,chaai3
囈,ngai6
囋,jaan3
囋,jaat6
囊,nong4
囉,lo1
囉,lo3
囉,lo4
囌,sou1
囓,ngaat6
囓,yit6
囓,ngit6
囑,juk1
囔,nong4
囗,wai4
囗,gwok3
四,sei3
四,si3
囚,chau4
因,yan1
囝,naam4
囝,jai2
囡,naam4
囟,seun3
回,wui4
囮,yau4
囮,ngo4
囥,kong3
困,kwan3
囧,gwing2
囫,fat1
囫,wat6
囤,deun6
囤,teun4
囤,tyun4
囪,cheung1
囪,chung1
囪,tung1
固,gu3
囹,ling4
囷,kwan1
囿,yau6
圁,ngan4
圃,bou2
圃,pou2
圂,waan6
圂,wan6
圄,yu5
國,gwok3
圇,leun4
圉,yu5
圊,ching1
圈,gyun6
圈,hyun1
圍,wai4
圌,seui4
圌,chyun4
園,yun4
圔,yap1
圓,yun4
圖,tou4
團,tyun4
圚,wui6
圛,yik6
圜,waan4
圜,yun4
圞,lyun4
土,tou2
圠,chaak3
圢,ting5
圣,gaai3
圣,fat1
圣,sing3
圳,jan3
圳,hyun2
圯,yi4
地,dei6
地,deng6
圮,pei2
圮,pei5
圬,wu1
圪,gat6
圪,ngat6
在,joi6
圩,wai4
圩,heui1
圩,yu4
圭,gwai1
圴,jeuk3
圾,saap3
圾,kap1
圾,ngap6
圻,ngan4
圻,kei4
坑,haang1
坋,ban6
坋,fan5
坋,fan6
坅,yam2
址,ji2
坊,fong1
坊,fong4
坁,ji2
坎,ham1
坎,ham2
坎,ham3
均,gwan1
均,kwan1
均,wan6
坐,cho5
坐,jo6
坌,ban6
坍,taan1
坏,waai6
坏,pui1
坏,pui4
坉,nang4
坉,tyun4
坒,bai6
垃,laap6
坦,taan2
坫,dim3
坳,aau1
坳,aau3
坳,ngaau1
坳,ngaau3
坡,bo1
坡,po1
坵,yau1
坷,ho1
坷,ho2
坯,pui1
坪,ping4
坲,fat6
坱,yeung5
坢,bun6
坢,pun5
坭,nai4
坤,kwan1
垀,fu1
坰,gwing1
坩,ham1
坩,kim4
坼,chaak3
坴,luk6
坻,dai2
坻,chi4
坻,ji2
坶,muk6
坽,ling4
坨,to4
垘,fuk6
垥,hip3
垵,am1
垵,am2
垢,gau3
垢,hau4
垂,seui4
垹,bong1
垕,hau5
垕,hau6
垝,gwai2
垓,goi1
垙,gwong1
垛,do2
垛,do6
垗,siu6
垗,jiu6
城,seng4
城,sing4
垮,kwa1
垞,cha4
垣,wun4
垠,ngan4
垟,yeung4
垤,dit6
垚,yiu4
型,ying4
垏,leut6
垌,dung6
垌,tung2
垌,tung4
垔,yan1
垿,jeui6
埋,maai4
堲,jat1
堲,jik1
堲,jik6
埆,kok3
埒,lyut3
埒,lyut6
垸,yun6
埂,gang2
垼,yik6
堉,yuk6
垽,ngan6
埌,long6
埁,sam4
垺,pau4
垺,fu1
垺,pui1
埔,bou3
埃,aai1
埃,ngaai1
埃,oi1
埃,ngoi1
埇,chung1
埇,yung2
垶,sing1
埐,jam1
埕,ching4
埮,daam6
埮,taam4
堎,ling4
堎,ling6
堍,tou3
埰,choi3
埩,chaang4
埩,jang1
埱,tau3
埱,chuk1
埭,dai6
埭,doi6
域,wik6
埼,kei4
埣,seui4
埣,seut1
堔,sam1
堂,tong4
培,bau6
培,pui4
埧,ba3
埧,geui6
堋,baang6
堋,bang1
堋,pang4
堋,bing3
埤,bai3
埤,pai3
埤,bei1
埤,pei4
埽,sou3
埻,jeun2
堊,ok3
堊,ngok3
埲,bong6
埲,bung6
埲,pung1
堄,ngai4
堄,ngai6
埶,ngai6
埶,sai3
堐,ngaai4
埠,fau6
埠,bou6
埬,dung1
堆,deui1
堆,jeui1
埥,jang1
基,gei1
埡,a3
埡,nga3
埜,ye5
堁,fo3
埸,yik6
堀,fat1
堀,gwat6
堅,gin1
堈,gong1
埴,jik6
埏,saan1
埏,yin4
埏,sin1
執,jap1
埳,ham2
埳,ham3
堌,gu3
埢,gyun6
堵,je2
堵,dou2
堳,mei4
堿,haam4
堿,gaan2
堿,ham3
堤,tai4
塈,gei6
塈,hei3
塈,kei3
報,bou3
堡,bou2
堡,pou3
堠,hau6
堮,ngok6
堣,yu4
堪,ham1
堨,aat3
堨,ngaat3
堨,oi2
堨,oi3
堨,ngoi2
堨,ngoi3
堥,mau4
堥,mou4
堥,mou5
堻,jeun1
堷,yam3
堷,bau6
堹,jung3
堜,lin6
堝,gwo1
堝,wo1
堩,gang2
堩,gang3
堰,yin2
堭,wong4
堧,yun4
堯,yiu4
埵,do2
埵,do3
堞,dip6
堬,yu4
堛,pei3
場,cheung4
堸,fung4
堙,yan1
堶,to4
塑,sok3
塑,sou3
塢,ou3
塢,wu2
塎,yung5
填,jan3
填,tin4
塍,sing4
塗,cha4
塗,tou4
塌,taap3
塔,taap3
塝,bong6
塉,jik6
塛,leut6
塘,tong4
塯,lau6
塭,wan1
塣,ching2
塋,ying4
塱,long5
堽,gong1
塥,gaak3
塓,mik6
塚,chung2
塞,sak1
塞,choi3
塤,fan1
塤,hyun1
塙,kok3
塊,faai3
塒,si4
塕,yung2
塏,hoi2
塨,gung1
墑,dik1
墈,ham3
墘,kin4
墎,gwok3
墇,jeung1
塼,jyun1
境,ging2
墂,biu1
塻,mok6
塴,baang6
塴,bang1
塴,bing3
墋,cham2
塵,chan4
墔,cheui1
塹,chim3
墆,dai3
墆,jai6
墆,dit6
墊,dim3
墊,din2
墊,din3
墊,din6
墊,jin3
墊,dip6
墐,gan2
墐,gan6
墏,cheung2
塿,lau4
塿,lau5
塺,mo6
塺,mui4
塶,luk6
墁,maan6
塾,suk6
塽,song2
墉,yung4
墅,seui5
墅,seui6
墓,mou6
墣,pok3
墣,buk6
墳,fan4
墳,fan5
墦,faan4
墯,fai1
墯,do6
墮,fai1
墮,do6
墥,teun2
墥,dung2
墬,dei6
墱,dang3
墩,dan1
墩,dan2
墩,deun1
墠,sin6
墀,chi4
墡,sin6
墫,jeun1
墨,maak6
墨,mak6
墜,jeui6
墝,haau1
增,chang4
增,jang1
墟,heui1
墿,yik6
墿,tou4
墻,cheung4
墼,gik1
墺,ou3
墺,ngou3
墾,han2
壁,bek3
壁,bik1
壁,bik3
壇,taan4
壈,lam5
壅,yung1
壅,yung2
壅,ngung1
壉,geui3
墽,haau1
墽,hiu1
壂,din6
壆,bok3
壕,hou4
壎,fan1
壎,hyun1
壓,aat3
壓,ngaat3
壖,yun4
壔,dou2
壏,haam5
壒,oi2
壒,oi3
壒,ngoi3
壑,kok3
壘,leui5
壘,leut6
壙,kong3
壙,kwong3
壟,lung5
壛,yim4
壝,wai2
壚,lou4
壢,lek6
壢,lik6
壞,waai6
壤,yeung5
壤,yeung6
壣,leun4
壨,leui4
壧,ngaam4
壩,ba3
士,si6
壬,yam4
壯,jong1
壯,jong3
壯,jong6
壴,jyu3
壹,yat1
壹,yik1
壺,wu4
壾,mong5
壼,kwan2
壽,sau6
壿,deun1
壿,chyun4
囍,hei2
夆,fung1
夆,fung4
夌,ling4
复,fuk1
复,fuk6
夏,ga2
夏,ha6
夎,jeui3
夎,cho3
夒,naau4
夒,nou4
夔,kwai4
夕,jik6
外,ngoi6
夗,yun2
夗,yun3
夙,suk1
多,do1
夜,ye6
夠,gau3
夤,yan4
夢,mung4
夢,mung6
夥,fo2
大,daai6
大,taai3
夬,gwaai3
夭,yiu1
夭,yiu2
夭,ou2
天,tin1
夫,fu1
夫,fu4
太,taai3
夯,haang1
夯,ban6
失,yat6
失,sat1
央,ying1
央,yeung1
夸,kwa1
夷,yi4
夼,kong3
夼,kwong3
奀,ngan1
夾,gaap3
夾,gap3
夾,gip6
奄,yim1
奄,yim2
奈,noi6
奇,gei1
奇,kei4
奉,fung6
奅,paau3
奔,ban1
奔,ban3
奏,chau3
奏,jau3
奐,wun6
奊,hai5
奊,kwai4
契,kai2
契,kai3
契,hat1
契,kit3
契,sit3
奎,kwai1
奎,fui1
奕,yik6
奓,ja1
奓,ja3
奓,che1
奓,se1
奓,chi2
套,tou3
奚,hai4
奘,jong1
奘,jong3
奘,jong6
奢,che1
奢,se1
奜,fei2
奡,ngou6
奠,din6
奧,ou2
奧,ou3
奧,ngou3
奧,yuk1
奪,dyut6
奫,wan1
奫,yun1
奩,lim4
奭,sik1
獎,jeung2
奮,fan3
奮,fan5
奰,bei6
奱,lyun4
奲,che2
奲,do2
女,neui5
女,neui6
女,yu5
奴,nou4
奶,naai1
奶,naai4
奶,naai5
奸,gaan1
妃,fei1
妃,pui3
如,yu4
奾,sin1
妄,mong5
妄,mong6
妀,gei2
妁,jeuk3
好,hou2
好,hou3
奻,naan4
她,ta1
她,yi1
奿,faan3
妅,hung4
奼,cha3
奼,ja3
奷,chin1
妨,fong4
姖,geui6
妢,fan4
妦,fung1
妗,kam5
妡,yan1
妤,yu4
妏,man6
妓,gei6
妖,yiu1
妖,yiu2
妍,yin4
妊,yam4
妊,yam6
妧,wun6
妧,yun4
妒,dou3
妣,bei2
妞,nau2
妞,nau5
妠,naap6
妥,to2
妥,to5
妙,miu6
妎,gaai3
妘,wan4
妝,jong1
妐,jung1
委,wai1
委,wai2
姈,ling4
妮,nei4
妴,yun2
妶,yin4
妶,yun4
姓,seng3
姓,sing3
姌,yim5
妼,bat6
妱,jiu1
姍,saan1
姍,sin1
姇,fau4
姇,fu1
姀,wo4
姎,yeung1
姎,yeung2
姐,je2
姊,je2
姊,ji2
姏,maan4
姆,mou5
妵,tau2
妹,mui6
妺,mut6
妯,chau1
妯,suk6
妯,juk6
妳,naai5
妳,lei5
妳,nei5
妽,san1
姃,jing1
妾,chip3
姒,chi5
姑,gu1
妲,taan2
妲,daat3
始,chi2
妻,chai1
妻,chai3
姅,bun3
姅,pun3
姁,heui1
姁,heui2
姱,kwa1
姘,ping1
姮,hang4
姭,him3
姦,gaan1
姣,gaau2
姣,haau4
姺,sin2
姥,lou5
姥,mou5
姿,ji1
姪,jat6
威,wai1
娃,wa1
姝,syu1
姝,jyu1
娀,sung1
姼,chi2
姼,si4
姞,gat1
姞,git6
姤,gau3
姛,dung6
姻,yan1
姩,nin4
姩,nin6
姷,yau6
姳,ming5
姽,gwai2
姽,ngai5
娗,tin2
娗,ting4
娗,ting5
姵,bui6
姵,pui3
姡,kut3
姡,wut6
姨,yi1
姨,yi4
姠,heung3
姴,lit6
姶,hap6
姶,yap1
姲,aan3
姚,yiu4
姜,geung1
姾,chyun4
娠,san1
娠,jan3
娙,ying4
娉,ping1
娉,ping3
娭,aai1
娭,ngaai1
娭,hei1
娭,oi1
娘,neung4
娥,ngo4
娖,chuk1
娓,mei5
娜,na4
娜,no4
娜,no5
娳,lei6
娑,so1
娊,daam1
娊,yin6
娟,gyun1
娣,dai6
娣,tai5
娣,tai6
娌,lei5
娕,laai6
娕,chuk1
娮,yin4
姬,gei1
娩,faan3
娩,maan5
娩,min5
娏,mong4
娛,yu4
娞,neui5
娞,seui1
婈,ling4
婃,chung4
婝,din6
婌,suk6
娷,seui6
娷,jeui6
婆,po4
婭,a3
婭,nga3
婢,pei5
婟,wu6
婜,haan1
婜,gan2
婑,wo1
婑,wo2
婕,jip3
婕,jit3
婰,din2
婩,yeuk6
婩,ngon6
婖,tim1
婍,yi2
娹,yin4
婂,min4
婇,choi2
娵,jeui1
婧,jing6
娾,ngaai6
婤,chau1
婤,jau1
婒,taam4
婄,pau3
婠,wun1
婛,ging1
婦,fu5
婓,fei1
婓,fei4
婚,fan1
娼,cheung1
婥,cheuk3
婗,ngai4
娶,cheui2
娶,cheui3
婊,biu2
婘,gyun3
婘,kyun4
婁,lau4
婁,leui4
婞,hang6
婉,wun2
婉,yun2
婐,o1
婐,lo2
婐,wo2
婀,o1
婀,o2
婀,ngo1
婀,ngo2
婬,yam4
娸,hei1
婪,laam4
媋,cheun1
媎,je2
媦,wai6
媧,gwa1
媧,wo1
媩,wu4
媔,min4
媚,mei4
媚,mei6
媌,maau4
媛,wun4
媛,yun4
媛,yun6
婸,dong6
婼,ye4
婼,yi3
婼,cheuk3
婼,yeuk6
婽,ga2
媯,gwai1
媜,jing1
媏,dyun1
媝,chau1
婻,nam6
媊,chin4
媊,jin2
媟,sit3
媗,hyun1
媕,am1
媕,ngam1
媃,yau4
媥,pin1
媬,bou2
媄,mei5
嫂,sou2
婷,ting4
婺,mou6
媮,tau1
媮,yu4
媞,tai4
媢,mou6
婿,sai3
媒,mui4
媓,wong4
嫍,tou1
嫆,yung4
嫊,sou3
嫌,yim4
媐,hei1
媿,gwai2
媿,kwai3
媿,kwai5
嫈,ying1
媷,yuk6
媲,bei2
媲,pei3
媸,chi1
媰,cho4
媹,lau4
嫀,san1
嫀,cheun4
媺,mei5
嫁,ga3
媾,gau3
媾,kau3
媴,yun4
媶,yung4
媵,yan6
媵,ying6
嫄,yun4
媽,ma1
媽,ma2
媽,ma4
媽,ma5
媻,pun4
嫋,niu1
嫋,niu5
嫉,jaat6
嫉,jat6
媳,sik1
媱,yiu4
媼,ou2
媼,ngou2
嫇,mang4
嫇,ming4
嫇,ming5
嫘,leui4
嫬,je1
嫪,lou6
嫫,mou4
嫨,naan5
嫨,hon1
嫡,dik1
嫮,wu6
嫦,seung4
嫚,maan6
嫟,nik1
嫳,pit3
嫭,wu6
嫙,syun4
嫞,chung1
嫞,yung4
嫩,nyun6
嫖,piu1
嫖,piu4
嫣,yin1
嫗,yu2
嫗,yu3
嫕,ai3
嫕,ngai3
嫕,yi3
嫛,yi1
嫜,jeung1
嫢,kwai1
嫝,hong1
嫠,lei4
嫥,jyun1
嬃,seui1
嬁,dang1
嫹,maau4
嬂,jik1
嬅,wa6
嬋,sim4
嬋,sin4
嫴,gu1
嬔,faan3
嬔,fu6
嬇,faai3
嬇,kui2
嬏,faan1
嫸,jin2
嫵,mou4
嫵,mou5
嫻,haan4
嬉,hei1
嬉,hei2
嫽,liu4
嫽,liu5
嫶,chiu4
嫶,jiu1
嬈,yiu4
嬈,yiu5
嬌,giu1
嫺,haan4
嫿,waak6
嫷,to5
嬓,giu3
嬙,cheung4
嬚,lim5
嬞,dung2
嬖,bai3
嬖,pei3
嬗,sin6
嬠,cham1
嬡,oi3
嬡,ngoi3
嬛,waan4
嬛,king4
嬛,hyun1
嬝,niu5
嬴,ying4
嬐,chim1
嬯,toi4
嬦,chau4
嬨,chi4
嬣,ning4
嬭,naai5
嬪,ban3
嬪,pan4
嬰,ying1
嬥,tiu4
嬥,tiu5
嬮,yim1
嬮,yim3
嬲,nau1
嬲,niu4
嬲,niu5
嬬,yu4
嬧,jeun6
嬤,ma1
嬤,ma4
嬤,mo5
嬸,sam2
嬽,yun1
嬼,lau6
嬼,liu5
嬾,laan5
嬿,yin2
嬿,yin3
孅,chim1
孃,neung4
孀,seung1
孇,seung1
孈,seui1
孌,lyun2
孌,lyun5
孋,lei4
孍,yim4
孍,yim5
孎,deuk3
孎,chuk1
孎,suk6
孎,juk1
孑,git3
孑,kit3
孓,kyut3
子,chi4
子,ji2
孔,hung2
孕,yan6
存,chyun4
字,ji6
孖,ma1
孖,ji1
孛,baak6
孛,bui6
孛,but6
孜,ji1
孝,haau3
孚,fu1
孟,maang6
孥,nou4
孢,baau1
孤,gu1
季,gwai3
孩,haai4
孩,hoi4
屘,mei1
孫,seun3
孫,syun1
孬,naau6
孬,bou2
孲,a1
孮,chung4
孰,suk6
孱,chaan3
孱,saan4
孱,jaan6
孳,ji1
孵,fu1
孷,lei4
學,hok6
孻,laai1
孺,yu4
孺,yu6
孽,yip6
孽,yit6
孿,lyun4
孿,syun3
宄,gwai2
宁,ning4
宁,chyu5
它,ta1
它,to1
安,on1
安,ngon1
宅,jaak6
宇,yu5
守,sau2
守,sau3
宏,wang4
完,yun4
宋,sung3
宎,ngaau5
宎,yiu2
宒,jeun1
宜,yi4
宛,wun2
宛,yun1
宛,yun2
宕,dong6
宗,jung1
官,gun1
定,deng6
定,ding3
定,ding6
宙,jau6
宓,mat6
宓,fuk6
宣,syun1
宦,waan6
宥,yau6
室,sat1
客,haak3
宨,tiu2
宭,kwan4
宬,sing4
宵,siu1
宸,san4
家,ga1
家,je1
家,gu1
宮,gung1
害,hoi6
害,hot3
害,hot6
宰,joi2
容,yung4
宧,yi4
宴,yin3
寀,choi2
寀,choi3
宿,sau3
宿,suk1
寂,jik6
寅,yan4
寄,gei3
密,mat6
寁,jaam2
寇,kau3
寔,sat6
寔,jik6
寪,wai2
寋,gin6
寊,jing1
寓,yu6
富,fu3
寍,ning4
寍,ning6
寑,cham2
寒,hon4
寐,mei6
寎,bing2
寘,ji3
寘,tin4
寙,yu5
寖,jam3
寠,lau4
寠,geui6
寣,fu1
寡,gwa2
寢,cham2
寥,liu4
寞,mok6
寤,ng6
察,chaat3
寧,ning4
寧,ning6
實,sat6
寨,jaai6
寮,liu4
寬,fun1
審,sam2
寫,se2
寯,jeun3
寰,waan4
寱,ngai6
寲,yi4
寵,chung2
寶,bou2
寸,chyun3
寺,ji2
寺,ji6
封,fung1
射,ye6
射,se6
射,yik6
射,sik6
尃,fu1
將,cheung1
將,jeung1
將,jeung3
尉,wai3
尉,wat1
專,jyun1
尌,syu6
尊,jeun1
尊,jyun1
尋,cham4
對,deui3
導,dou6
小,siu2
少,siu2
少,siu3
尐,jik1
尐,jit3
尒,yi5
尕,ga1
尖,jim1
尚,seung6
尟,sin2
尢,yau4
尢,wong1
尤,yau4
尥,liu6
尪,wong1
尬,gaai3
尨,mong4
尨,pong4
尨,mung4
就,jau6
尰,chung3
尰,jung2
尰,jung6
尳,gwat1
尳,wat6
尷,gaam1
尸,si1
尺,che2
尺,chek3
尹,wan5
尼,nei4
尻,haau1
尻,hou1
尿,seui1
尿,niu6
尾,mei5
局,guk6
屁,pei3
屄,hai1
屄,bei1
居,gei1
居,geui1
屇,tin4
屆,gaai3
屈,gwat6
屈,wat1
屍,si1
屏,bing1
屏,bing2
屏,ping4
屋,uk1
屋,nguk1
屌,diu2
屎,hei1
屎,si2
屑,sit3
展,jin2
屔,nai4
屔,nei4
屖,chai1
屖,sai1
屐,kek6
屙,o1
屙,ngo1
屝,fai6
屝,fei2
屜,tai3
屠,cheui4
屠,tou4
屣,saai2
屢,leui5
層,chang4
履,lei5
履,leui5
屧,sip3
屧,sit3
屨,geui3
屩,geuk3
屪,liu4
屬,suk6
屬,juk1
屬,juk6
屭,ai3
屭,ngai3
屭,hei3
屮,chit3
屯,seun4
屯,jeun1
屯,tyun4
山,saan1
屴,lak6
屴,lik6
屹,ngat6
屾,san1
屼,ngat6
屻,yan6
屺,hei2
岆,yiu2
岐,kei4
岉,mat6
岒,kim4
岊,git3
岊,jit3
岌,gap6
岌,kap1
岌,ngap6
岈,ha1
岈,nga4
岓,kei4
岑,sam4
岔,cha3
岍,hin1
岋,ngap6
岏,yun4
岕,gaai3
岧,tiu4
岣,gau2
岤,hyut3
岠,geui6
岠,keui5
岡,gong1
岯,pei4
岢,ho2
岭,leng5
岭,ling4
岭,ling5
岥,po1
岶,paak3
岩,ngaam4
岝,jaak3
岝,jaak6
岵,wu6
岬,gaap3
岟,yeung2
岳,ngok6
岸,ngon6
岦,laap6
岦,lap6
岱,doi6
岷,man4
岨,jeui1
岨,jeui2
岫,jau6
岰,aau3
岪,fat6
岮,to4
峓,yi4
峟,yau6
峌,dit6
峚,mat6
峗,ngai4
峗,ngai5
峸,sing4
峏,yi4
峞,ngai4
峞,ngai5
峔,mou5
峙,chi5
峙,si6
峙,ji6
峘,wun4
峉,ngaak6
峒,dung6
峒,tung4
峊,fau6
峇,ba1
峆,gap3
峈,lok6
峋,seun1
峐,goi1
峎,gan3
峛,lei5
峖,on1
峻,jeun3
峮,kwan1
峿,ng4
峿,yu5
峱,naau4
峱,nau4
峱,nou4
峨,ngo4
崀,long4
崀,long5
崀,long6
崁,ham3
峽,haap6
峽,hap6
島,dou2
峭,chiu3
峷,san1
峹,tou4
峬,bou1
峰,fung1
峪,yuk6
峪,yu6
峴,yin6
崠,dung3
崝,jang1
崰,ji1
崖,ngaai4
崢,chaang4
崢,jaang1
崢,jang1
崤,ngaau4
崌,geui1
崔,cheui1
崔,cheui4
崧,sung1
崣,wai2
崋,wa4
崋,wa6
崍,loi4
崇,sung4
崩,bang1
崏,man4
崑,gwan1
崑,kwan1
崛,gwat6
崙,leun4
崞,gwok3
崮,gu3
崎,kei1
崎,kei4
崨,jit6
崆,hung1
崚,ling4
崟,yam4
崒,jeut1
崒,jyut6
崦,yim1
崥,bei2
崥,pei4
崗,gong1
嵙,
崹,tai4
嵃,yin5
嵃,yin6
嵅,ham4
嵉,ting4
崱,jak1
崱,sik6
嵫,ji1
嵀,chyu5
崼,si6
崵,yeung4
崵,dong6
崽,jai2
崽,joi2
崲,wong4
崳,yu4
嵕,jung1
崸,dan6
崺,yi4
崺,yi5
嵋,mei4
崶,fung1
嵌,haam1
嵌,ham2
嵌,ham3
嵌,ham6
嵂,leut6
嵁,ham1
嵑,kit3
嵑,hot3
嵐,laam4
崴,waai1
崴,waai2
崴,wai1
嵎,yu4
嵇,hai4
嵇,kai1
崷,chau4
嵒,ngaam4
崿,ngok6
嵩,sung1
嵱,yung4
嵲,yit6
嵧,lau4
嵞,tou4
嵣,dong6
嵣,tong4
嵊,sing6
嵯,cho1
嵯,cho4
嵬,ngai4
嵥,git6
嵨,wu2
嵢,chong1
嶀,tou1
嶉,jeui1
嶉,jeui2
嶊,jeui2
嵾,chaam1
嵾,cham1
嶇,keui1
嵼,chaan2
嶆,chou4
嵿,ding2
嵽,dai3
嵽,dai6
嵽,dit6
嵹,keung4
嶂,jeung3
嵺,liu4
嶍,jaap6
嶄,chaam4
嶄,chaam5
嶄,jaam2
嶄,jaam3
嶈,cheung1
嵷,sung2
嶁,lau5
嶓,bo1
嶡,gwai3
嶡,kyut3
嶠,giu2
嶠,giu6
嶠,kiu4
嶗,lou4
嶞,do6
嶝,dang3
嶕,chiu4
嶜,jam1
嶟,jeun1
嶚,liu4
嶒,chang4
嶔,yam1
嶢,yiu4
嶙,leun4
嶩,naau4
嶧,yik6
嶴,ou3
嶴,ngou3
嶯,chap1
嶬,ngai5
嶬,yi4
嶲,seui2
嶲,seui5
嶪,yip6
嶭,yip6
嶭,yit6
嶭,sit3
嶨,hok6
嶮,him2
嶱,ho1
嶱,got3
嶵,jeui2
嶰,haai5
嶽,ngok6
嶼,jeui6
嶼,yu4
嶸,wang4
嶸,ying4
嶸,wing4
嶺,leng5
嶺,ling5
嶷,yi4
嶷,yik6
巂,kwai1
巂,sai1
巂,seui2
巂,seui5
巀,jit6
巃,lung4
巇,hei1
巇,hei3
巆,ying4
巉,chaam4
巋,kwai1
巋,kwai2
巏,kyun4
巍,ngai4
巔,din1
巕,yit6
巑,chyun4
巒,lyun4
巘,yin5
巖,ngaam4
巖,yim4
川,chyun1
巟,fong1
州,jau1
巡,cheun4
巢,chaau4
工,gung1
巨,geui6
巧,haau2
巧,kiu2
左,jo2
巠,ging1
巫,mou4
差,cha1
差,chaai1
差,chi1
差,cho1
巰,kau4
己,gei2
已,yi5
巳,ji6
巴,ba1
巷,hong6
巽,seun3
巾,gan1
巿,fat1
帄,ding1
市,si5
布,bou3
帆,faan4
帆,faan6
帎,daam3
希,hei1
帊,pa3
帗,fat1
帔,pei1
帔,pei3
帙,dit6
帘,lim4
帛,baak6
帚,jaau2
帚,jau2
帖,tip3
帑,tong2
帑,nou4
帕,pa3
帕,paak3
帕,mak6
帕,mat6
帤,yu4
帣,gyun2
帣,gyun3
帡,ping4
帢,hap1
帟,yik6
帥,seui3
帥,seut1
帝,dai3
帠,ngai6
帩,chiu3
師,si1
帨,cheui3
帨,seui3
席,jik6
常,seung4
帴,jin1
帴,jin2
帶,daai3
帷,wai4
帳,jeung3
帾,dou2
帽,mou2
帽,mou6
幃,wai4
幄,ak1
幄,ngak1
幀,jing3
幅,fuk1
幁,seui1
幋,pun4
幍,tou1
幊,gung1
幏,ga3
幌,fong2
幎,mik6
幛,jeung3
幘,jaak3
幘,jik1
幓,saam1
幣,bai6
幔,maan6
幗,gwok3
幕,mok6
幙,mok6
幡,faan1
幟,chi3
幜,ging2
幠,fu1
幝,chin2
幝,jin2
幢,chong4
幢,tong4
幢,jong6
幩,fan4
幨,chim1
幨,jim1
幧,chiu1
幦,mat6
幦,mik6
幫,bong1
幪,mung2
幪,mung4
幪,mung5
幬,chau4
幬,dou6
幬,tou4
幯,jit3
幮,cheui1
幮,chyu1
幮,chyu4
幭,mit6
幰,hin2
干,gon1
干,gon3
平,peng4
平,ping4
并,bing1
并,bing3
并,bing6
幵,gin1
幵,hin1
年,nin4
幸,hang6
幹,gon3
幹,hon4
幻,waan6
幼,yau3
幽,yau1
幾,gei1
幾,gei2
庂,jak1
庀,pei2
庄,jong1
庈,kam4
庌,nga5
庇,bei3
序,jeui6
庍,baai3
庍,yan3
庉,deun6
庉,tyun4
床,chong4
庋,gwai2
庋,gei2
庚,gang1
庖,paau4
府,fu2
底,dai2
底,dik1
店,dim3
庥,yau1
庢,jat1
庢,jat6
庠,cheung4
庛,chi3
庤,ji6
庣,tiu1
度,dok6
度,dou6
庭,ting3
庭,ting4
庨,haau1
庫,se3
庫,fu3
庬,mong4
庬,pong4
座,jo2
座,jo6
庪,gwai2
庪,gei2
庮,yau4
庮,yau5
庹,tok3
庶,syu3
庾,yu4
庾,yu5
