借,je3
倉,chong1
倀,chaang1
倀,chaang4
倀,jan3
倀,cheung1
倬,cheuk3
倬,jeuk3
倳,ji3
倳,ji6
倧,jung1
值,jik6
倢,jip3
倢,jit3
倢,jit6
倅,cheui3
倅,jeut1
俵,biu2
俵,biu3
俶,tik1
俶,chuk1
倭,wai1
倭,wai2
倭,wo1
倭,wo2
倓,daam6
倓,taam4
倜,tik1
倯,sung1
倣,fong2
倵,mou5
俷,fai3
倘,seung4
倘,tong2
倒,dou2
倒,dou3
俴,chin5
倫,leun4
倚,kei1
倚,yi2
俺,aan2
俺,yim3
倔,gwat6
倇,yun2
倦,gyun6
倥,hung1
倥,hung2
倥,hung3
倆,leung5
倛,hei1
倖,hang6
候,hau6
偉,wai5
假,ga2
假,ga3
偍,tai4
偵,jing1
偕,gaai1
偕,haai4
偈,gai2
偈,gai6
偈,git6
偯,yi2
偢,chau2
偢,chiu2
偁,chan3
偁,ching1
偁,ching3
做,jou6
偫,chi5
偫,ji6
偷,tau1
倕,seui4
偟,wong4
偰,sit3
偎,wui1
側,jak1
倏,suk1
偩,fu6
偳,jeui3
偌,ye6
停,ting4
偲,chaai1
偲,si1
偲,soi1
偊,geui2
偊,yu2
偊,yu5
偡,jaam3
偠,yiu2
偠,yiu5
偶,ngau5
偛,jaap3
偽,ngai6
偅,jung3
偣,yim1
偮,jap1
偗,saang2
偑,fung1
偞,yip6
偭,min5
偭,min6
偀,ying1
偃,yim2
偃,yin2
偋,bing2
偆,cheun2
偓,ak1
偓,ngak1
偏,pin1
偤,yau4
健,gin6
偝,bui3
偝,bui6
偺,ja1
偪,bik1
偨,chi1
偨,ji1
傋,gau3
傋,gong2
傇,yung5
傀,faai3
傀,gwai1
傎,din1
傔,him3
傞,cho1
傞,so1
傍,bong6
傍,pong4
傣,daai2
傣,taai3
傜,yiu4
傂,ji6
傖,chaang1
傖,cham2
傖,chong1
傛,yung4
傛,yung6
備,bei6
傝,taap3
傅,fu1
傅,fu6
傢,ga1
傘,saan3
傃,sou3
傚,haau6
傑,git6
傒,hai4
傒,hai6
傌,ma6
傕,gok3
傽,jeung1
僅,gan2
僅,gan6
傺,chai3
僆,lin5
傸,chong2
僈,maan6
傮,chou4
傮,jou1
僊,sin1
僇,luk6
僉,chim1
傴,yu2
傲,ngou6
傿,yin1
傭,chung1
傭,yung2
傭,yung4
傶,chau3
催,cheui1
傰,bang1
傰,pang4
僁,sat1
僁,seut1
僁,sit3
傯,jung2
傯,jung3
僄,piu1
僄,piu3
僄,piu5
傳,chyun4
傳,jyun3
傳,jyun6
傻,so4
傷,seung1
傾,king1
僋,taam2
僋,taam3
債,jaai3
傱,sung2
僂,lau4
僂,leui5
僱,gu3
僔,jyun2
僓,teui4
僖,hei1
僠,bo1
僳,suk1
僣,jim3
僯,leun5
僯,leun6
僕,buk6
僚,liu4
僚,liu5
僚,lou5
僰,baak6
僰,bat6
僰,bok3
僮,jong3
僮,jong6
僮,tung4
僗,lou4
僪,yut6
僪,kyut3
僑,kiu4
僥,giu1
僥,giu2
僥,hiu1
僥,yiu4
僨,fan3
僨,fan5
僤,daan6
僭,chim3
僭,chim5
僭,jim3
僩,haan5
僧,sang1
僧,jang1
僛,hei1
僬,jiu1
僬,jiu3
僎,jaan6
僎,jeun1
僎,jyun1
僦,jau3
僦,jau6
僝,saan4
僝,jaan6
像,jeung6
儂,nung4
僾,oi3
僾,ngoi3
儊,cho2
僶,man5
儃,taan2
儃,sin4
儃,jin1
儅,dong1
儅,dong3
儌,giu1
儌,giu2
儌,hiu1
僵,geung1
儈,kui2
儈,kui3
