偎,人田一女
側,人月金弓
倏,人中人大
偩,人弓月金
偳,人山一月
偌,人廿大口
停,人卜口弓
偲,人田心
偊,人竹中月
偡,人廿一女
偠,人一田女
偶,人田中月
偛,人竹十難
偽,人戈大火
偅,人竹十土
偣,人卜廿日
偮,人口尸十
偗,人火竹山
偑,人竹弓戈
偞,人心廿木
偭,人一田中
偀,人廿中大
偃,人尸日女
偋,人尸廿廿
偆,人手大日
偓,人尸一土
偏,人竹尸月
偤,人廿金田
健,人弓大手
偝,人中心月
偺,人竹人日
偪,人一口田
偨,人卜心木
傋,人廿廿月
傇,人廿尸十
傀,人竹戈
傎,人十月金
傔,人廿難金
傞,人廿手一
傍,人卜月尸
傣,人手大水
傜,人月人山
傂,人竹卜山
傖,人人戈口
傛,人十金口
備,人廿竹月
傝,人日尸一
傅,人戈月戈
傢,人十一人
傘,人人人十
傃,人手一火
傚,人卜大大
傑,人弓手木
傒,人月女大
傌,人尸手火
傕,人人月土
傽,人卜廿十
僅,人廿中一
傺,人月人火
僆,人卜十十
傸,人大大大
僈,人日田水
傮,人廿田日
僊,人一田山
僇,人尸一竹
僉,人一口人
傴,人尸口口
傲,人土尸大
傿,人一卜火
傭,人戈中月
傶,人戈竹火
催,人山人土
傰,人山月月
僁,人竹木心
傯,人竹田心
僄,人一田火
傳,人十戈戈
傻,人竹金水
傷,人人日竹
傾,人心一金
僋,人人戈金
債,人手一金
傱,人竹人人
僂,人中田女
僱,人竹尸土
僔,人廿田戈
僓,人中一金
僖,人土口口
僠,人竹木田
僳,人一田木
僣,人手人日
僯,人火木手
僕,人廿金人
僚,人大金火
僰,木月人
僮,人卜廿土
僗,人火火尸
僪,人弓竹月
僑,人竹大月
僥,人土土山
僨,人十廿金
僤,人口口十
僭,人一山日
僩,人日弓月
僧,人金田日
僛,人廿金人
僬,人人土火
僎,人口山金
僦,人卜火山
僝,人尸弓木
像,人弓日人
儂,人廿田女
僾,人月月水
儊,人木木人
僶,人口難山
儃,人卜田一
儅,人火月田
儌,人竹尸大
僵,人一田一
儈,人人一日
僿,人十廿土
儋,人弓金口
僽,人竹火心
儇,人田中女
價,人一田金
億,人卜廿心
儆,人廿口大
僸,人木木火
儀,人廿土戈
僻,人尸口十
儉,人人一人
儔,人土弓戈
儗,人心大人
儘,人中一廿
儚,人廿田弓
儑,人日女火
儐,人十一金
儓,人土口土
儜,人十心弓
儒,人一月月
儕,人卜難
儦,人戈心火
儥,人土田金
償,人火月金
儩,人月金竹
儠,人女女女
儤,人日廿水
優,人一月水
儢,人卜心心
儲,人卜口日
儡,人田田田
儭,人卜木山
儰,人廿戈火
儱,人卜月心
儮,人一木一
儴,人卜口女
儵,人中人火
儳,人弓口戈
儹,人竹山金
儷,人一一心
儺,人廿人土
儸,人田中土
儼,人口口大
儻,人火月火
儽,人田田火
儿,中山
兀,一山
兀,一山
允,戈竹山
元,一一山
充,卜戈竹山
兄,口竹山
兇,山大竹山
光,火一山
兆,中一山人
先,竹土竹山
克,十口竹山
兌,金口竹山
免,弓日竹山
兒,竹難竹山
兔,弓山戈
兕,尸山竹山
兗,卜金口竹山
党,火月口竹山
兜,竹女竹山
兟,竹山竹土山
兢,十山十口山
入,人竹
內,人月
屳,人山
全,人一土
兩,一中月人
八,竹人
六,卜金
兮,金一女尸
公,金戈
共,廿金
弚,金弓中
兵,人一金
具,月一一金
其,廿一一金
典,廿月金
兼,廿難金
冀,中心田廿金
冇,大月
冊,月廿
冉,土月
再,一土月
冏,月金口
冑,中田月
冒,日月山
冔,日口一木
冓,廿廿土月
冕,日弓日山
冘,中月山
冗,月竹弓
冞,月火木
冠,月一山戈
冢,月一一人
冤,月弓山戈
冥,月日卜金
冪,月廿日月
冬,竹水卜
冰,戈一水
冱,戈一一女一
冹,戈一戈大
冶,戈一戈口
冷,戈一人戈戈
